,date,state_code,county_code,state_name,county_name,co_polutant_level,no2_polutant_level,o3_polutant_level,pm10_polutant_level,pm25frm_polutant_level,pm25nfrm_polutant_level,so2_polutant_level
2755,2020-12-28,47,37,Tennessee,Davidson,0.4041857878977575,29.35718571249609,,,,,
2756,2020-12-29,47,37,Tennessee,Davidson,0.42838833854032254,31.215779696379258,,,,,
2757,2020-12-30,47,37,Tennessee,Davidson,0.4627973696463552,20.539973988153747,,,,,
2758,2020-12-31,47,37,Tennessee,Davidson,0.3807253079252788,22.2882749166165,,,,,
2759,2020-12-01,47,157,Tennessee,Shelby,0.5473050211754109,,0.029378449098206,,,,
2760,2020-12-02,47,157,Tennessee,Shelby,0.5261630312792758,,0.02084062247822295,,,,
2761,2020-12-03,47,157,Tennessee,Shelby,0.4365500093185899,,0.022113764281705153,,,,
2762,2020-12-04,47,157,Tennessee,Shelby,0.29947729176937576,,0.022912643397727195,,,,
2763,2020-12-05,47,157,Tennessee,Shelby,0.4073563666880622,,0.02053122660360998,,,,
2764,2020-12-06,47,157,Tennessee,Shelby,0.25226238875413487,,0.036641186714924945,,,,
2765,2020-12-07,47,157,Tennessee,Shelby,0.6627450895653109,,0.03227939280416986,,,,
2766,2020-12-08,47,157,Tennessee,Shelby,0.5333072607798746,,0.03014478039600829,,,,
2767,2020-12-09,47,157,Tennessee,Shelby,0.5243181000601225,,0.03351030411424366,,,,
2768,2020-12-10,47,157,Tennessee,Shelby,0.4495986507026286,,0.03421534356415204,,,,
2769,2020-12-11,47,157,Tennessee,Shelby,0.3228739935274023,,0.027195547987299645,,,,
2770,2020-12-12,47,157,Tennessee,Shelby,0.4084014963402858,,0.02544054663165124,,,,
2771,2020-12-13,47,157,Tennessee,Shelby,0.5004268786675803,,0.02650029242164284,,,,
2772,2020-12-14,47,157,Tennessee,Shelby,0.549759249652066,,0.013097924048784182,,,,
2773,2020-12-15,47,157,Tennessee,Shelby,0.3995992091129452,,0.02037557619141718,,,,
2774,2020-12-16,47,157,Tennessee,Shelby,0.454942202138628,,0.021904160476311302,,,,
2775,2020-12-17,47,157,Tennessee,Shelby,0.42627627132097534,,0.02556103151284836,,,,
2776,2020-12-18,47,157,Tennessee,Shelby,0.6196091471763026,,0.020294412327819117,,,,
2777,2020-12-19,47,157,Tennessee,Shelby,0.46317127339230657,,0.027696345768894015,,,,
2778,2020-12-20,47,157,Tennessee,Shelby,0.5175388705018709,,0.03169441534256218,,,,
2779,2020-12-21,47,157,Tennessee,Shelby,0.5230939737627072,,0.030033685073528688,,,,
2780,2020-12-22,47,157,Tennessee,Shelby,0.4393628644503442,,0.036874275252051364,,,,
2781,2020-12-23,47,157,Tennessee,Shelby,0.5171275075648867,,0.029922470002558765,,,,
2782,2020-12-24,47,157,Tennessee,Shelby,0.38029239847543783,,0.03343859294571863,,,,
2783,2020-12-25,47,157,Tennessee,Shelby,0.35673992222416406,,0.02439930434464274,,,,
2784,2020-12-26,47,157,Tennessee,Shelby,0.3163107349542731,,0.025522075083020762,,,,
2785,2020-12-27,47,157,Tennessee,Shelby,0.3470269434561426,,0.01917608820239257,,,,
2786,2020-12-28,47,157,Tennessee,Shelby,0.48414182095729785,,0.023071818872204428,,,,
2787,2020-12-29,47,157,Tennessee,Shelby,0.3484580666683037,,0.025843511710001196,,,,
2788,2020-12-30,47,157,Tennessee,Shelby,0.6976420488904469,,0.026445562725338864,,,,
2789,2020-12-31,47,157,Tennessee,Shelby,0.4499040406124508,,0.026761526096393262,,,,
2790,2020-12-01,48,113,Texas,Dallas,0.6152324248802543,26.04945648773753,0.02878900923367861,,5.013947727404357,,
